PG.ProteinGroups	PG.Genes	[1] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S1_S3-A1_1_20231.d.PG.Quantity	[2] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S2_S3-A2_1_20232.d.PG.Quantity	[3] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S3_S3-A3_1_20233.d.PG.Quantity	[4] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S4_S3-A4_1_20234.d.PG.Quantity	[5] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S5_S3-A5_1_20235.d.PG.Quantity	[6] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S6_S3-A6_1_20236.d.PG.Quantity	[7] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S7_S3-A7_1_20237.d.PG.Quantity	[8] 20260428_TIMS6_EVO4_PRI_DIA_30SPD_15cmPS_P8_R2003_X3858_ADG000268_S8_S3-A8_1_20238.d.PG.Quantity
A3KGB4	Tbc1d8b	322.8492126464844	276.6218566894531	288.8992614746094	306.0487976074219	264.4761047363281	298.7859191894531	333.9722900390625	301.8167724609375
A3KGS3	Ralgapa2	11.962271690368652	14.039127349853516	7.756840705871582	13.667078971862793	18.900209426879883	32.611759185791016	13.521703720092773	14.55695915222168
A3KGV1	Odf2	18.41924285888672	36.67142868041992	44.66575241088867	41.14145278930664	48.14499282836914	21.728546142578125	33.00962829589844	41.47193145751953
A3KGW5	Cercam	95.54319763183594	65.75574493408203	99.37952423095703	100.66510772705078	92.68252563476562	89.31634521484375	101.85475158691406	129.9167022705078
A4Q9F0	Ttll7	33.53997802734375	11.642797470092773	18.914094924926758	22.120487213134766	11.182699203491211	9.975812911987305	15.638324737548828	12.352618217468262
A6H5Y3	Mtr	234.45675659179688	232.67770385742188	188.994384765625	265.22802734375	218.87991333007812	202.7374267578125	201.17771911621094	236.1824493408203
A6H5Z3	Exoc6b	480.52447509765625	532.5971069335938	595.5936279296875	604.728271484375	595.6546020507812	529.1091918945312	526.1859130859375	536.5814208984375
A6H611	Mipep	279.1015319824219	356.5525817871094	417.6551818847656	358.7460632324219	336.9077453613281	303.2481384277344	379.9447937011719	349.53143310546875
A6H619	Phrf1	15.95237922668457	20.862707138061523	25.724882125854492	25.07143783569336	27.693096160888672	24.382381439208984	26.03314208984375	35.727630615234375
A6H630	Dcph1	436.419677734375	383.5304870605469	375.0798645019531	459.1743469238281	473.6783447265625	439.2589111328125	485.452880859375	394.1557312011719
